STCOFIPS,fips-int,CountyName,State,totalfertN-kg-1987,totalfertN-kg-1992,totalfertN-kg-1997,totalfertN-kg-2002,totalfertN-kg-2007,totalfertN-kg-2012,totalfertN-kg-2017,totalfertP-kg-1987,totalfertP-kg-1992,totalfertP-kg-1997,totalfertP-kg-2002,totalfertP-kg-2007,totalfertP-kg-2012,totalfertP-kg-2017
36001,36001,Albany,NY,580040,677944,494585,861730,659529,554113,630563,179804,195433,113980,193137,103353,77003,104351
36003,36003,Allegany,NY,631964,682267,551895,723727,481343,547909,970456,220862,236646,158439,184447,87275,89950,170280
36005,36005,Bronx,NY,,,,,,,103442,,,,,,,15008
36007,36007,Broome,NY,646340,564434,376580,450505,436707,284889,444317,213008,172958,92978,100246,70757,39489,81524
36009,36009,Cattaraugus,NY,1195989,1136196,752663,1045727,924211,1004310,1275044,418106,393554,214928,265685,167763,164946,245396
36011,36011,Cayuga,NY,3242262,4005288,3031565,2947172,3338684,3464845,4837917,1139406,1402808,878652,755845,612048,573558,815687
36013,36013,Chautauqua,NY,2066375,2342142,1755809,1860128,1850663,1985005,2696021,721002,811220,502581,471429,335769,325799,520553
36015,36015,Chemung,NY,368573,377036,240877,381442,359990,206131,355534,124022,122137,63073,91709,62361,30984,58865
36017,36017,Chenango,NY,1170491,1170237,886379,898591,805999,501363,665286,410677,408177,255741,229413,146924,82114,114317
36019,36019,Clinton,NY,1062635,1581111,949813,933528,876321,822158,1275490,370897,549850,272502,236670,158751,134488,219315
36021,36021,Columbia,NY,1310972,1401355,1261329,1381101,899337,1058555,1580591,459265,487947,363890,352831,163421,174143,316013
36023,36023,Cortland,NY,1187379,952794,579738,684064,552369,612276,760647,416374,331195,166091,173756,99996,100334,135376
36025,36025,Delaware,NY,930643,836493,399089,654685,445715,216060,616138,326570,291547,114272,167024,80871,34930,103801
36027,36027,Dutchess,NY,1182314,1120507,645729,910224,986887,813000,1031239,398500,361682,164514,210190,166379,122283,188193
36029,36029,Erie,NY,2809454,2732342,2417059,2703655,2887919,2269526,3143552,895089,796147,590558,590639,469390,325695,528294
36031,36031,Essex,NY,206851,269133,139211,135508,274993,107516,156860,71830,92756,39131,33563,49787,17165,26106
36033,36033,Franklin,NY,1030397,1127071,646469,717273,778728,928203,1077004,361936,393936,186375,183080,142158,153228,195446
36035,36035,Fulton,NY,232728,254669,193761,151566,181444,85364,194663,79349,84863,53101,35858,31435,12568,35741
36037,36037,Genesee,NY,3136210,3346159,2837315,2533584,2549481,3237854,4639781,1103026,1172571,823264,650299,467367,536352,779280
36039,36039,Greene,NY,186292,173822,189886,212416,155549,167213,174814,63770,57574,52740,52225,27039,26491,36527
36041,36041,Hamilton,NY,2222,4257,3361,3390,,5423,7787,697,1337,868,768,,855,1462
36043,36043,Herkimer,NY,906410,939321,568096,621580,771099,651919,751503,317053,326161,162474,157541,140255,106887,127564
36045,36045,Jefferson,NY,1646806,1402536,934943,1239680,1326527,1352001,1816726,576349,484242,265972,313540,240412,221290,328692
36047,36047,Kings,NY,,,,,,146299,181866,,,,,,15217,26208
